SKU,Product title,Product link,Availability,Inventory quantity,Product weight(KG),Brand,Product type,after coupon price,MAP (Minimum Advertised Price)
CTPQS2400CFM00001V1,VEVOR 2400 CFM Roof Fan Up-blast Restaurant Exhaust Fan High Speed Direct Drive Up-blast Exhaust Fan 250W,https://www.vevor.com/fans-fan-blades-c_10638/restaurant-hood-roof-exhaust-fan-2400cfm-commercial-680-rpm-kitchen-110v-p_010950733175,in stock,133,23.50000,VEVOR,Building Materials > Ventilation > Roof Vents > Roof Turbines ,274.70,335.90USD
YSFLQ6PCS4C20X25YV0,"VEVOR Pack of 6 Hood Filters 19.5W x 24.5H Inch, 430 Stainless Steel 4 Grooves Commercial Hood Filters, Range Hood Filter for Grease Rated Commercial Kitchen Exhaust Hoods",https://www.vevor.com/exhaust-hood-filter-c_13577/box-of-6-hood-filter-grease-baffle-20-w-x-25-h-stainless-steel-commercial-range-p_010156932087,in stock,33,13.25000,VEVOR,Appliances > Appliance Parts > Range Hood Parts > Fume Hood Filter ,104.90,104.90USD
YSFLQ6PCS4C20X20YV0,"VEVOR Pack of 6 Hood Filters 19.5W x 19.5H Inch, 430 Stainless Steel 4 Grooves Commercial Hood Filters, Range Hood Filter for Grease Rated Commercial Kitchen Exhaust Hoods",https://www.vevor.com/exhaust-hood-filter-c_13577/commercial-hood-grease-exhaust-filter-baffle-20-x-20-stainless-steel-6-pack-p_010195907551,in stock,847,10.25000,VEVOR,Appliances > Appliance Parts > Range Hood Parts > Fume Hood Filter ,95.90,95.90USD
YSFLQ6PCS5C20X16YV0,"VEVOR Pack of 6 Hood Filters 19.5W x 15.5H Inch, 430 Stainless Steel 5 Grooves Commercial Hood Filters, Range Hood Filter for Grease Rated Commercial Kitchen Exhaust Hoods",https://www.vevor.com/exhaust-hood-filter-c_13577/6-pack-20-x16-stainless-steel-hood-grease-exhaust-filter-baffle-5-slots-p_010878675172,in stock,328,7.85000,VEVOR,Appliances > Appliance Parts > Range Hood Parts > Fume Hood Filter ,86.90,86.90USD
30LNGZLQ000000001V1,30L Stainless Steel Alcohol Distiller Home Brew Kit Moonshine Wine Making Boiler,https://www.vevor.com/alcohol-distiller-c_10688/8g-30l-distiller-brewing-kit-moonshine-still-stainless-wine-boiler-home-p_010114765646,out of stock,0,8.65000,VEVOR,Kitchen > Tableware & Bar > Brewing Equipment > Integrated Water Alcohol Distiller ,185.90,185.90USD
8MYCS000000000001V0,"VEVOR Chimney Sweep Kit 26FT, Chimney Brush 315 Inch Chimney Brush Rod Kit 8 Rods with Nylon Flexible Rods .",https://www.vevor.com/janitorial-brushes-c_10682/chimney-sweeping-brush-rotary-chimney-brush-315inch-chimney-brush-rod-kit-8-rods-p_010880508510,in stock,201,2.15000,VEVOR,"Heating, Venting & Cooling > Fireplaces > Fireplace Accessories > Fireplace Tools > Chimney Brush ",53.90,53.90USD
XRJ1GXRJ10LX10001V1,"VEVOR Slushy Machine, 10L 1 Tank Slushie Machine for Home, 600W Commercial Slushy Machine, machine a slush for Frozen Drinks Automatic Clean, Slushy Machine for Home Supermarkets Cafes Restaurants",https://www.vevor.com/granita-slushy-machines-c_10687/vevor-commercial-single-bowl-10l-frozen-drink-slush-slushy-making-machine-110v-p_010722118293,in stock,4,44.70000,VEVOR,Appliances > Small Kitchen Appliances > Dessert Makers > Snow Cone Machines > Conventional Slush Machine ,658.99,658.99USD
XRJ2GXRJ10LX20001V1,VEVOR 110V Slushy Machine 20L Double Bowl Margarita Frozen Drink Maker 900W Automatic Clean Day and Night Modes for Supermarkets Cafes Restaurants Snack Bars Commercial Use,https://www.vevor.com/granita-slushy-machines-c_10687/commercial-slush-frozen-drink-machine-juice-dispenser-2-tanks-ice-maker-20l-p_010321122089,out of stock,0,63.32000,VEVOR,Appliances > Small Kitchen Appliances > Dessert Makers > Snow Cone Machines > Conventional Slush Machine ,1084.99,1084.99USD
YLJHSLYJ18LX1DG01V1,"VEVOR Commercial Beverage Dispenser, 4.8 Gallon 1 Tank Cold Beverage Dispenser, 200W Food Grade Material Stainless Steel Commercial Juice Dispenser With Thermostat Controller for Cold Drink",https://www.vevor.com/refrigerated-beverage-dispensers-c_10690/commercial-juice-dispenser-4-8-gallon-cold-beverage-drink-dispenser-machine-18l-p_010149673917,out of stock,0,20.00000,VEVOR,Kitchen > Tableware & Bar > Serveware > Beverage Servers > Commercial Beverage Dispenser ,239.99,239.99USD
YSBDTBW4003A00001V1,"VEVOR Bottled Water Dispenser Pump System, 5 Gallon Dispensing System, Automatic Electric Water Dispenser, Single Inlet Water Jug Pump, Compatible Use with Coffee/Tea Machine, Refrigerator, Ice Maker",https://www.vevor.com/beer-pump-c_10707/120v-ac-bottled-water-dispensing-pump-system-dispenser-replace-bunn-flojet-40psi-p_010312850941,in stock,375,2.45000,VEVOR,Kitchen > Water Dispensers & Pitchers > Water Dispensers > Drinking Water Pump ,66.90,66.90USD
